experiment,accuracy,logical,clarity,detail,irrelevancy,relevancy
7b,3,3,3,3,1,3
7b,3,3,3,3,2,2
7b,2,3,3,3,2,2
7b,3,3,3,3,1,3
7b,3,3,3,3,3,1
7b,3,3,3,3,3,1
7b,2,3,3,3,1,3
7b,3,3,3,3,1,3
7b,2,2,3,3,1,3
7b,2,2,3,3,2,2
7b,2,2,3,3,2,2
7b,3,3,3,3,1,3
7b,3,3,3,1,1,3
7b,3,3,3,3,1,3
7b,1,2,3,3,3,1
7b,3,3,3,1,3,1
7b,2,2,3,3,1,3
7b,3,3,3,3,3,1
7b,3,1,2,1,3,1
7b,3,3,3,3,2,2
7b,2,3,3,3,3,1
7b,3,3,3,1,1,3
7b,3,3,3,1,1,3
7b,3,3,3,1,1,3
7b,3,2,3,3,1,3
7b,3,3,3,1,1,3
7b,2,3,3,3,3,1
7b,2,2,3,3,1,3
7b,2,2,3,1,1,3
7b,3,3,3,3,1,3
7b,3,3,3,1,1,3
7b,2,2,3,3,2,2
7b,2,2,3,3,1,3
7b,2,2,2,3,1,3
7b,2,2,3,3,2,2
7b,2,2,3,3,1,3
7b,1,1,3,3,2,2
7b,1,1,1,3,2,2
7b,3,3,3,3,1,3
7b,3,3,3,3,1,3
7b,3,3,3,3,1,3
7b,3,3,3,3,3,1
7b,3,3,3,1,3,1
7b,2,2,3,3,3,1
7b,2,2,3,2,3,1
7b,3,3,3,3,1,3
7b,3,3,3,2,1,3
7b,3,3,3,3,3,1
7b,3,3,3,3,1,3
7b,3,2,3,3,1,3
7b,3,3,3,3,1,3
7b,2,2,3,1,1,3
7b,2,2,3,3,1,3
7b,1,1,1,1,3,1
7b,3,3,3,3,1,3
7b,3,3,3,3,1,3
7b,1,1,1,1,3,1
7b,3,2,3,2,3,1
7b,2,1,3,3,3,1
7b,3,3,3,1,1,3
7b,2,1,3,3,3,1
7b,3,2,3,2,1,3
7b,3,2,3,3,1,3
7b,2,3,3,3,1,3
7b,3,2,3,1,1,3
7b,2,2,3,3,2,2
7b,2,2,3,2,1,3
7b,3,3,3,3,1,3
7b,1,2,3,2,2,2
7b,3,2,3,2,2,2
7b,2,2,2,1,1,3
7b,3,3,3,3,1,3
7b,2,2,3,3,1,3
7b,3,3,3,3,1,3
7b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,2,3,3,3,3,1
13b,2,3,3,3,2,2
,-1,-1,-1,-1,-1,
13b,2,1,3,3,1,3
13b,3,3,3,3,2,2
13b,2,1,3,3,1,3
,-1,-1,-1,-1,-1,
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,3,2,2,2,1,3
13b,3,3,3,3,2,2
13b,1,1,1,1,3,1
13b,3,3,3,1,1,3
13b,3,1,3,2,1,3
13b,3,1,3,2,1,3
13b,2,3,3,2,3,1
13b,1,1,1,1,3,1
13b,2,2,3,3,1,3
13b,2,2,3,3,3,1
13b,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
13b,3,3,3,3,1,3
13b,2,2,3,2,1,3
13b,2,1,3,3,1,3
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
,-1,-1,-1,-1,-1,
,-1,-1,-1,-1,-1,
13b,2,3,3,3,1,3
13b,2,1,3,3,3,1
13b,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
13b,2,1,3,2,1,3
13b,2,2,3,3,1,3
13b,2,1,2,3,3,1
13b,3,3,3,1,1,3
13b,3,3,3,1,1,3
,-1,-1,-1,-1,-1,
13b,3,3,3,3,1,3
13b,2,2,3,3,3,1
13b,3,3,3,2,1,3
13b,2,2,2,1,1,3
13b,2,1,3,3,2,2
13b,2,1,3,1,1,3
13b,2,1,3,3,1,3
13b,3,3,3,1,1,3
13b,2,2,3,3,1,3
13b,2,2,3,3,1,3
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,3,3,3,2,1,3
13b,2,2,3,3,1,3
,-1,-1,-1,-1,-1,
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
13b,2,2,3,3,1,3
13b,2,1,3,3,1,3
13b,3,3,3,3,1,3
13b,3,2,3,3,3,1
,-1,-1,-1,-1,-1,
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,2,2,3,3,3,1
13b,2,2,3,3,1,3
13b,3,3,3,3,2,2
13b,2,1,3,2,1,3
13b,2,1,3,1,1,3
13b,3,3,3,3,1,3
13b,3,3,3,2,1,3
,-1,-1,-1,-1,-1,
13b,2,2,3,3,3,1
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,3,3,3,3,2,2
,-1,-1,-1,-1,-1,
13b,3,3,3,3,1,3
13b,3,3,3,3,1,3
13b,2,1,3,1,1,3
13b,2,2,3,3,1,3
,-1,-1,-1,-1,-1,
,-1,-1,-1,-1,-1,
13b,3,3,3,3,1,3
13b,2,3,3,3,1,3
13b,3,3,3,3,1,3
sc,2,2,3,3,1,3
sc,3,3,3,3,2,2
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
sc,3,3,3,3,1,3
sc,3,3,3,3,2,2
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,1,1,2,3,3,1
sc,2,2,3,3,3,1
sc,2,3,3,3,2,2
sc,3,3,3,3,2,2
sc,2,3,3,3,1,3
sc,1,1,3,3,3,1
sc,3,2,3,3,2,2
sc,2,2,3,3,2,2
sc,3,3,3,3,2,2
sc,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
sc,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
sc,2,2,3,3,3,1
sc,2,2,3,3,3,1
sc,3,3,3,3,1,3
sc,2,2,3,3,2,2
sc,3,3,3,3,2,2
sc,3,2,3,3,2,2
sc,2,1,2,3,2,2
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,2,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,1,2,3,3,1
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
